df_index,final_price,list_price,bathrooms,parking,lat,long,mean_district_income,sqft,bedrooms_ag,total_bedrooms,is_house
3105,670000,689000,2,1,43.7734963,-79.35896369999998,37379,950.0,2,2,0
3106,457500,399999,1,1,43.6826838,-79.51108570000002,101551,650.0,1,2,0
3107,822000,699000,3,2,43.64478039999999,-79.4294245,45737,1300.0,4,4,1
3108,2470000,2488800,4,2,43.7496817,-79.36708639999998,67757,2310.1479046836484,4,6,1
3109,500000,500000,1,0,43.6828845,-79.41781499999998,165047,550.0,1,1,0
3110,775000,789000,3,1,43.6012502,-79.52440190000002,44101,1700.0,3,3,1
3111,483000,479900,1,1,43.62187,-79.5215387,52787,650.0,1,2,0
3113,640000,648000,2,1,43.6383068,-79.41478579999998,70623,750.0,2,2,0
3114,2050000,2099900,3,1,43.6672257,-79.40689309999998,112766,2750.0,6,6,1
3115,755000,795000,1,1,43.7242393,-79.40254959999999,169203,750.0,1,2,0
3116,880000,799000,2,1,43.68280220000001,-79.29987890000002,54324,1856.3063063063064,2,3,1
3117,620000,638000,2,2,43.7580713,-79.4031651,45326,750.0,2,2,0
3118,1551000,1349000,3,2,43.71289270000001,-79.42858709999999,48134,2124.0,2,2,0
3119,690000,715000,2,1,43.70061339999999,-79.39781140000002,89330,750.0,2,2,0
3120,385000,399000,1,1,43.7302124,-79.3320772,67757,250.0,1,1,0
3121,670500,675000,1,1,43.6468075,-79.40279790000002,70600,650.0,1,1,0
3123,1090000,1180000,2,2,43.7450019,-79.3382385,42516,1761.820652173913,2,2,1
3124,745000,699900,2,2,43.7650993,-79.21385490000002,30878,2310.1479046836484,3,5,1
3126,1799000,1799000,3,2,43.667139,-79.3091116,92580,1761.820652173913,3,4,1
3127,475000,479900,2,1,43.79020089999999,-79.25417009999998,31825,1300.0,2,3,0
3128,700000,639000,2,1,43.6383993,-79.41444820000002,70623,950.0,2,3,0
3130,620000,630500,2,1,43.7734963,-79.35896369999998,37379,850.0,2,2,0
3131,618000,629900,1,0,43.6505597,-79.38207220000002,56526,550.0,1,2,0
3133,670000,678000,2,1,43.8111882,-79.35588680000002,40442,1500.0,3,3,1
3134,858600,858600,4,1,43.78357159999999,-79.1279157,39556,1750.0,4,4,1
3135,460000,475000,2,1,43.7844588,-79.4153917,45212,950.0,2,3,0
3136,773000,819000,4,4,43.7963302,-79.2317001,29573,2310.1479046836484,3,4,1
3137,850000,879999,2,4,43.6617267,-79.5721748,47002,1300.0,3,4,1
3140,395000,385000,1,1,43.78167070000001,-79.2472126,30878,650.0,1,2,0
3141,1425000,1090000,4,2,43.669194,-79.30939670000002,92580,1761.820652173913,3,4,1
3144,1253180,1000099,2,2,43.6548997,-79.4399593,40588,1761.820652173913,3,5,1
3145,462000,439900,1,0,43.6521213,-79.44986089999998,50580,250.0,0,1,0
3149,1200000,1338000,3,4,43.7912718,-79.4366397,34904,2750.0,4,4,1
3150,1036000,879900,2,2,43.6826383,-79.32490959999998,46206,1856.3063063063064,3,3,1
3151,745000,759900,2,3,43.7187507,-79.56804840000002,34418,2310.1479046836484,3,4,1
3152,659900,668900,2,1,43.6256776,-79.4787686,54438,750.0,2,2,0
3154,600000,603800,2,1,43.7726599,-79.3456346,36359,750.0,2,2,0
3155,1365000,1299000,1,1,43.6420946,-79.4383373,50580,2250.0,3,5,1
3156,728000,699999,1,1,43.6642476,-79.3095407,92580,850.0,2,2,0
3157,1198000,1198000,2,2,43.6383068,-79.41478579999998,70623,1300.0,2,3,0
3158,472000,449000,1,1,43.639339,-79.53640349999998,52787,750.0,1,1,0
3161,729000,689000,2,1,43.764298,-79.24628229999998,30878,2310.1479046836484,3,3,1
3162,1500000,1195000,2,2,43.6782231,-79.34056770000002,48511,2310.1479046836484,3,3,1
3163,585000,585000,1,1,43.6602919,-79.36057659999999,34597,650.0,1,2,0
3167,2184000,2195000,4,2,43.70370279999999,-79.4335729,85099,2310.1479046836484,4,4,1
3168,690000,699000,3,3,43.8152975,-79.22835169999998,29573,2310.1479046836484,4,6,1
3171,1320000,1185000,2,1,43.6834583,-79.3552176,44557,2310.1479046836484,3,3,1
3172,1450000,1289000,2,0,43.68354530000001,-79.350274,70831,1750.0,4,4,1
3174,606500,549000,1,0,43.6649785,-79.3781013,53583,750.0,2,3,0
3175,920000,920000,2,1,43.62091239999999,-79.48901690000002,54438,1856.3063063063064,3,3,1
3177,554750,559900,1,1,43.6575994,-79.38364,56526,750.0,1,1,0
3178,442000,449900,1,1,43.762757,-79.39271090000003,45326,850.0,2,2,0
3180,660000,650000,1,0,43.6419035,-79.37911299999998,70600,550.0,1,2,0
3182,360000,379000,1,1,43.7700951,-79.3445385,36359,850.0,1,1,0
3185,561000,499000,2,3,43.6911375,-79.5028363,30827,2310.1479046836484,2,3,1
3186,1600000,1499000,4,1,43.6405901,-79.4458916,50580,2750.0,5,6,1
3188,719000,738000,2,1,43.7721814,-79.41237890000002,45326,950.0,2,2,0
3189,627000,629000,1,1,43.6413708,-79.41069159999998,70623,750.0,1,1,0
3192,330000,330000,2,1,43.8053274,-79.2202291,29573,950.0,2,2,0
3193,650000,669999,2,1,43.6305531,-79.4755778,54438,1100.0,2,2,0
3194,652500,599000,1,0,43.6455813,-79.403577,70623,850.0,2,2,0
3195,626000,579000,1,1,43.6503953,-79.3581104,70600,550.0,1,1,0
3197,437000,444900,2,1,43.6997603,-79.5184922,32997,1100.0,2,3,0
3198,1142000,1400000,2,8,43.7167967,-79.5006375,31800,2310.1479046836484,3,3,1
3202,1600000,1600000,1,1,43.71029420000001,-79.4124858,169203,2310.1479046836484,3,3,1
3203,1000000,998000,3,3,43.63493820000001,-79.5555366,52787,1750.0,5,6,1
3204,670000,689900,2,2,43.7006915,-79.26135620000002,54360,2310.1479046836484,3,5,1
3206,1440000,1498888,5,1,43.7115472,-79.30563719999998,43907,2250.0,4,5,1
3214,1650000,1695000,2,2,43.6459121,-79.42703,45737,1750.0,3,3,1
3217,725000,695000,3,2,43.6889936,-79.50494479999998,30827,1750.0,3,4,1
3218,1650000,1499000,3,1,43.7300349,-79.40855340000002,111730,1761.820652173913,4,5,1
3219,731400,739900,2,3,43.7721289,-79.5287072,25989,1761.820652173913,3,4,1
3220,498000,509900,2,1,43.7798189,-79.28286440000002,31825,850.0,2,3,0
3221,1302000,1098800,2,2,43.683387,-79.3558382,44557,2310.1479046836484,3,3,1
3223,1680000,1749000,3,4,43.6794913,-79.51434509999999,101551,2250.0,3,4,1
3224,542000,558000,2,1,43.74452480000001,-79.4903892,29958,1300.0,3,3,1
3225,615000,629900,2,1,43.6200102,-79.48308329999998,54438,1100.0,2,3,0
3226,1333000,998900,2,2,43.6713448,-79.32968790000002,53803,1761.820652173913,5,6,1
3227,650000,599900,1,1,43.64112189999999,-79.4268511,35207,850.0,2,3,1
3228,1708000,1698000,3,2,43.6777683,-79.29538649999998,92580,1750.0,3,4,1
3229,1650000,1688000,3,1,43.6694425,-79.38461149999998,53583,1500.0,2,3,0
3230,900000,929900,3,2,43.7547004,-79.23649619999998,30878,1750.0,4,5,1
3231,347500,349900,1,1,43.7300414,-79.27333519999998,31383,750.0,1,2,0
3232,705000,699900,3,2,43.7522578,-79.6007028,31771,2310.1479046836484,3,3,1
3233,1305000,1385000,2,1,43.6721683,-79.3804767,207903,1700.0,2,2,0
3234,820000,850000,4,4,43.7877315,-79.148721,54045,2310.1479046836484,4,5,1
3235,1250000,999000,2,1,43.64544160000001,-79.4119788,70623,950.0,1,2,0
3236,1450000,1199000,2,1,43.6597691,-79.4166333,58071,900.0,2,3,1
3237,1385000,1095000,2,1,43.6751479,-79.3375192,48511,1761.820652173913,3,3,1
3238,840000,899000,3,1,43.7592422,-79.44030140000002,45936,1500.0,3,3,1
3239,790000,799900,3,1,43.6909582,-79.50167579999999,30827,2310.1479046836484,4,5,1
3240,2250000,2498800,6,4,43.7889172,-79.4293235,34904,4250.0,4,6,1
3241,568000,575000,2,1,43.7916018,-79.35425079999997,37379,1700.0,2,3,0
3242,857000,879000,2,1,43.6867088,-79.39925769999998,114174,850.0,1,2,0
3243,1040000,1049000,2,2,43.6845761,-79.53529449999998,44177,2310.1479046836484,3,4,1
3245,340000,368500,1,1,43.7079575,-79.48039920000002,32483,550.0,1,1,0
3246,868000,887500,2,8,43.7239502,-79.5300247,39003,2310.1479046836484,2,3,1
3247,440000,449000,1,0,43.64787000000001,-79.391138,70600,250.0,0,0,0
3248,1115000,990000,2,1,43.6589626,-79.47927259999999,57465,1761.820652173913,4,4,1
3249,1222000,1099000,3,1,43.6823263,-79.4296093,39803,2310.1479046836484,4,4,1
3250,459000,459000,1,1,43.76531370000001,-79.41236219999998,72371,550.0,1,1,0
3251,868000,899900,3,6,43.74758660000001,-79.21382159999997,32913,2310.1479046836484,4,5,1
3252,993000,999900,3,3,43.7004544,-79.3033602,43907,2250.0,5,5,1
3254,595000,599900,2,1,43.7156665,-79.2815358,36232,1100.0,2,2,1
3260,1230000,1199000,1,2,43.66751110000001,-79.4375451,39740,1761.820652173913,3,3,1
3262,638000,648800,2,1,43.642313,-79.42436640000003,45737,650.0,2,3,0
3263,546000,498888,1,0,43.6455046,-79.3924571,70600,550.0,1,1,0
3265,390000,399999,2,1,43.7583999,-79.58646920000002,26548,1100.0,2,2,0
3267,670000,748800,1,4,43.7112309,-79.28791020000001,36232,2310.1479046836484,3,3,1
3269,2040000,2188000,4,2,43.7308343,-79.4200117,123077,2310.1479046836484,4,4,1
3271,480000,448800,1,1,43.730085,-79.4656246,34168,750.0,2,2,1
3272,916500,799900,3,2,43.620418,-79.50664189999998,54438,2124.0,3,3,1
3275,1399000,1399900,3,1,43.663293,-79.3237118,46206,1750.0,3,3,1
3277,554000,569900,1,0,43.6450775,-79.3643417,70600,550.0,1,1,0
3278,539000,560000,1,1,43.7580713,-79.4031651,45326,650.0,1,2,0
3279,366000,349000,1,1,43.7806198,-79.30527059999999,34200,950.0,2,2,0
3280,930000,948000,2,1,43.6418064,-79.3789807,70600,650.0,2,2,0
